,time,cases,fitted
52,2020.295081967213,27555.0,28697.365101730706
53,2020.2978142076502,27804.0,28978.76527977001
54,2020.3005464480875,27977.0,29231.586995428057
55,2020.3032786885246,28178.0,29458.42096206209
56,2020.3060109289618,28351.0,29661.711665726994
57,2020.308743169399,28568.0,29843.744692470453
58,2020.311475409836,28773.0,30006.64060619583
59,2020.3142076502731,28958.0,30152.35394538958
60,2020.3169398907103,29107.0,30282.676095116076
61,2020.3196721311476,29182.0,30399.240984311007
62,2020.3224043715848,29324.0,30503.532743770924
63,2020.3251366120219,29451.0,30596.894629455306
64,2020.327868852459,29591.0,30680.538663923413
65,2020.3306010928961,29733.0,30755.555575913695
66,2020.3333333333333,29844.0,30822.924723618056
67,2020.3360655737704,29915.0,30883.523773622295
68,2020.3387978142077,29974.0,30938.137976650607
69,2020.3415300546449,30027.0,30987.468935630972
70,2020.344262295082,30090.0,31032.142803705436
71,2020.3469945355191,30174.0,31072.717881462177
72,2020.3497267759562,30243.0,31109.691606378015
73,2020.3524590163934,30307.0,31143.506944336583
74,2020.3551912568305,30352.0,31174.558204929912
75,2020.3579234972678,30388.0,31203.196310064555
76,2020.360655737705,30445.0,31229.733550151544
77,2020.363387978142,30491.0,31254.44786470602
78,2020.3661202185792,30535.0,31277.586684925074
79,2020.3688524590164,30577.0,31299.370375524453
80,2020.3715846994535,30624.0,31319.995311861163
81,2020.3743169398906,30656.0,31339.636626633
82,2020.377049180328,30672.0,31358.450658352045
83,2020.379781420765,30699.0,31376.577131502494
84,2020.3825136612022,30730.0,31394.141095981526
85,2020.3852459016393,30766.0,31411.254651035782
86,2020.3879781420765,30794.0,31428.018476698406
87,2020.3907103825136,30815.0,31444.523193542944
88,2020.3934426229507,30836.0,31460.850569554997
89,2020.396174863388,30846.0,31477.07459103859
90,2020.3989071038252,30853.0,31493.262412727592
91,2020.4016393442623,30874.0,31509.475200711087
92,2020.4043715846994,30887.0,31525.768880286832
93,2020.4071038251366,30908.0,31542.194799592824
94,2020.4098360655737,30937.0,31558.80031865526
95,2020.4125683060108,30978.0,31575.6293324361
96,2020.4153005464482,30988.0,31592.722735508785
97,2020.4180327868853,30991.0,31610.118835126264
98,2020.4207650273224,31008.0,31627.85371871254
99,2020.4234972677596,31026.0,31645.961581078718
100,2020.4262295081967,31050.0,31664.475016109012
101,2020.4289617486338,31072.0,31683.42527709381
102,2020.431693989071,31088.0,31702.842509418944
103,2020.4344262295083,31095.0,31722.755958896094
104,2020.4371584699454,31113.0,31743.19415863166
105,2020.4398907103825,31124.0,31764.185097033234
106,2020.4426229508197,31142.0,31785.75636919939
107,2020.4453551912568,31166.0,31807.935313735696
108,2020.448087431694,31194.0,31830.749136774022
109,2020.450819672131,31206.0,31854.225024779487
110,2020.4535519125684,31222.0,31878.390247549505
111,2020.4562841530055,31246.0,31903.272252635325
112,2020.4590163934427,31273.0,31928.89875231834
113,2020.4617486338798,31297.0,31955.29780407824
114,2020.464480874317,31313.0,31982.497885450633
115,2020.467213114754,31341.0,32010.527964032546
116,2020.4699453551912,31373.0,32039.417563322793
117,2020.4726775956285,31387.0,32069.196825009087
118,2020.4754098360656,31419.0,32099.896568229524
119,2020.4781420765028,31449.0,32131.548346329928
120,2020.48087431694,31515.0,32164.184501499556
121,2020.483606557377,31559.0,32197.838217708893
122,2020.4863387978141,31627.0,32232.543572280967
123,2020.4890710382513,31670.0,32268.335586409765
124,2020.4918032786886,31709.0,32305.250274908598
125,2020.4945355191257,31800.0,32343.324695422285
126,2020.4972677595629,31905.0,32382.59699737776
127,2020.5,32023.0,32423.10647081896
128,2020.5027322404371,32172.0,32464.893595360463
129,2020.5054644808743,32271.0,32508.000089414214
130,2020.5081967213114,32321.0,32552.46895985052
131,2020.5109289617487,32374.0,32598.34455224309
132,2020.5136612021859,32455.0,32645.672601810104
133,2020.516393442623,32554.0,32694.500285234648
